School Name,Class,Roll No,Student Name,Hindi,English,Maths,Science,Social,Computer,Total Marks,CGPA,Pass/Fail
St Joseph School,1,10,Ishita Yadav,60,98,47,80,7,68,360,6,Pass
St Joseph School,1,21,Rohan Sharma,49,71,77,71,30,78,376,6.27,Pass
St Joseph School,1,1,Kiran Singh,46,64,48,91,96,32,377,6.28,Pass
St Joseph School,1,7,Ananya Sharma,100,29,62,94,25,69,379,6.32,Pass
St Joseph School,1,9,Neha Chopra,2,62,56,74,98,88,380,6.33,Pass
St Joseph School,1,28,Neha Sharma,89,77,90,51,8,77,392,6.53,Pass
St Joseph School,1,11,Rahul Bajaj,69,62,85,49,99,97,461,7.68,Pass
St Joseph School,2,11,Ishita Sharma,20,34,59,26,6,37,182,3.03,Fail
St Joseph School,2,7,Rohan Kapoor,31,16,42,32,40,34,195,3.25,Fail
St Joseph School,2,20,Varun Malhotra,44,1,74,25,74,4,222,3.7,Fail
St Joseph School,2,30,Vivaan Mehta,63,14,3,6,86,59,231,3.85,Fail
St Joseph School,2,23,Tanya Singh,56,72,8,14,8,74,232,3.87,Pass
St Joseph School,2,5,Kiran Verma,5,11,93,47,25,52,233,3.88,Pass
St Joseph School,2,1,Ananya Sharma,72,55,5,11,78,16,237,3.95,Pass
St Joseph School,2,14,Priya Kapoor,13,37,6,84,76,33,249,4.15,Pass
St Joseph School,2,21,Sanjay Singh,13,49,9,39,90,58,258,4.3,Pass
St Joseph School,2,26,Rahul Kapoor,46,7,77,65,7,57,259,4.32,Pass
St Joseph School,2,25,Aarav Chopra,18,72,17,93,54,6,260,4.33,Pass
St Joseph School,2,9,Kiran Chopra,19,63,20,67,82,10,261,4.35,Pass
St Joseph School,2,28,Ananya Chopra,96,11,55,82,16,7,267,4.45,Pass
St Joseph School,2,27,Sanya Mehta,72,17,84,47,20,32,272,4.53,Pass
St Joseph School,2,2,Nikhil Yadav,55,9,77,27,80,47,295,4.92,Pass
St Joseph School,2,16,Varun Malhotra,76,72,49,91,6,1,295,4.92,Pass
St Joseph School,2,13,Rohan Singh,3,90,70,86,38,17,304,5.07,Pass
St Joseph School,2,17,Vivaan Mehta,59,92,75,10,42,26,304,5.07,Pass
St Joseph School,2,22,Simran Yadav,4,15,84,74,61,68,306,5.1,Pass
St Joseph School,2,6,Aryan Mehta,35,62,16,99,72,42,326,5.43,Pass
St Joseph School,2,3,Priya Verma,78,98,79,1,49,27,332,5.53,Pass
St Joseph School,2,19,Divya Singh,62,80,99,28,53,37,359,5.98,Pass
St Joseph School,2,18,Aryan Singh,90,57,70,62,68,16,363,6.05,Pass
St Joseph School,2,10,Aditya Mehta,46,99,6,64,69,89,373,6.22,Pass
St Joseph School,2,15,Aarav Sharma,94,17,57,67,71,70,376,6.27,Pass
St Joseph School,2,4,Sanjay Mehta,50,79,94,55,41,70,389,6.48,Pass
St Joseph School,2,12,Varun Verma,93,65,58,83,86,27,412,6.87,Pass
St Joseph School,2,8,Priya Mehta,24,85,76,55,100,81,421,7.02,Pass
St Joseph School,2,24,Kabir Sharma,15,96,100,95,73,68,447,7.45,Pass
St Joseph School,2,29,Aditya Gupta,77,95,94,31,98,52,447,7.45,Pass
St Joseph School,3,18,Rahul Singh,8,26,68,0,17,38,157,2.62,Fail
St Joseph School,3,5,Simran Kapoor,32,28,39,38,21,2,160,2.67,Fail
St Joseph School,3,15,Ishita Kapoor,58,0,33,17,32,57,197,3.28,Fail
St Joseph School,3,30,Ananya Verma,26,46,36,6,40,60,214,3.57,Fail
St Joseph School,3,9,Sanya Bajaj,20,12,17,28,44,96,217,3.62,Pass
St Joseph School,3,22,Ishita Malhotra,96,6,18,64,29,4,217,3.62,Pass
St Joseph School,3,11,Aarav Mehta,76,44,43,12,3,68,246,4.1,Pass
St Joseph School,3,19,Rahul Bajaj,13,81,63,34,6,50,247,4.12,Pass
St Joseph School,3,6,Ananya Malhotra,18,77,46,68,47,21,277,4.62,Pass
St Joseph School,3,17,Kabir Singh,99,35,9,53,15,70,281,4.68,Pass
St Joseph School,3,12,Sanjay Sharma,100,16,15,79,46,26,282,4.7,Pass
St Joseph School,3,25,Rohan Kapoor,23,95,33,91,25,16,283,4.72,Pass
St Joseph School,3,13,Rahul Yadav,36,21,89,75,21,43,285,4.75,Pass
St Joseph School,3,1,Priya Mehta,96,46,12,17,37,82,290,4.83,Pass
St Joseph School,3,4,Varun Yadav,86,5,26,91,40,48,296,4.93,Pass
St Joseph School,3,26,Priya Singh,1,62,86,33,87,36,305,5.08,Pass
St Joseph School,3,10,Varun Singh,19,35,60,87,30,78,309,5.15,Pass
St Joseph School,3,24,Divya Bajaj,63,13,54,32,53,95,310,5.17,Pass
St Joseph School,3,29,Rohan Mehta,31,85,28,59,67,55,325,5.42,Pass
St Joseph School,3,14,Aarav Singh,99,90,86,27,5,22,329,5.48,Pass
St Joseph School,3,8,Sanya Verma,73,24,57,93,39,45,331,5.52,Pass
St Joseph School,3,23,Aryan Bajaj,25,73,63,93,9,70,333,5.55,Pass
St Joseph School,3,27,Sanya Kapoor,55,98,62,27,51,44,337,5.62,Pass
St Joseph School,3,3,Aditya Kapoor,4,70,62,68,88,53,345,5.75,Pass
St Joseph School,3,7,Divya Mehta,63,92,62,79,10,47,353,5.88,Pass
St Joseph School,3,20,Neha Malhotra,4,86,63,43,62,95,353,5.88,Pass
St Joseph School,3,21,Nikhil Sharma,49,50,65,78,52,78,372,6.2,Pass
St Joseph School,3,28,Aryan Kapoor,69,69,58,81,97,44,418,6.97,Pass
St Joseph School,3,2,Rohan Verma,99,68,46,59,93,79,444,7.4,Pass
St Joseph School,3,16,Priya Sharma,84,68,98,61,60,85,456,7.6,Pass
St Joseph School,4,8,Kiran Malhotra,44,11,9,74,0,27,165,2.75,Fail
St Joseph School,4,21,Ishita Yadav,37,16,8,68,30,46,205,3.42,Fail
St Joseph School,4,16,Nikhil Mehta,2,24,95,16,34,42,213,3.55,Fail
St Joseph School,4,15,Nikhil Bajaj,36,25,10,73,65,15,224,3.73,Fail
St Joseph School,4,20,Kabir Singh,46,50,46,28,57,18,245,4.08,Pass
St Joseph School,4,22,Sanjay Bajaj,78,36,12,91,11,22,250,4.17,Pass
St Joseph School,4,19,Pooja Sharma,100,1,7,81,31,33,253,4.22,Pass
St Joseph School,4,4,Sanya Bajaj,79,36,89,36,7,8,255,4.25,Pass
St Joseph School,4,5,Tanya Gupta,55,50,19,56,20,62,262,4.37,Pass
St Joseph School,4,27,Sanjay Mehta,56,55,92,30,9,41,283,4.72,Pass
St Joseph School,4,2,Simran Sharma,91,71,1,76,37,8,284,4.73,Pass
St Joseph School,4,14,Sanjay Verma,46,17,88,37,19,80,287,4.78,Pass
St Joseph School,4,3,Sanjay Chopra,51,41,42,47,95,15,291,4.85,Pass
St Joseph School,4,26,Rahul Yadav,58,85,11,67,50,31,302,5.03,Pass
St Joseph School,4,24,Priya Malhotra,30,90,33,38,93,31,315,5.25,Pass
St Joseph School,4,29,Tanya Yadav,100,16,83,42,15,60,316,5.27,Pass
St Joseph School,4,11,Ishita Mehta,41,35,36,38,95,80,325,5.42,Pass
St Joseph School,4,13,Divya Chopra,25,66,67,80,41,47,326,5.43,Pass
St Joseph School,4,28,Rahul Kapoor,93,32,64,8,97,32,326,5.43,Pass
St Joseph School,4,30,Priya Chopra,74,64,40,84,34,32,328,5.47,Pass
St Joseph School,4,6,Aditya Bajaj,24,18,38,74,96,86,336,5.6,Pass
St Joseph School,4,17,Vivaan Yadav,71,69,52,89,12,44,337,5.62,Pass
St Joseph School,4,1,Pooja Mehta,99,19,49,33,75,80,355,5.92,Pass
St Joseph School,4,12,Ishita Gupta,88,72,30,97,50,20,357,5.95,Pass
St Joseph School,4,7,Vivaan Gupta,48,50,50,52,60,98,358,5.97,Pass
St Joseph School,4,18,Ananya Gupta,33,12,97,78,98,51,369,6.15,Pass
St Joseph School,4,25,Varun Yadav,16,52,86,70,56,98,378,6.3,Pass
St Joseph School,4,23,Aryan Yadav,65,96,19,45,56,99,380,6.33,Pass
St Joseph School,4,10,Aryan Gupta,73,66,62,47,79,76,403,6.72,Pass
St Joseph School,4,9,Rohan Malhotra,100,37,64,95,74,56,426,7.1,Pass
St Joseph School,5,30,Kabir Singh,16,0,5,54,39,36,150,2.5,Fail
St Joseph School,5,1,Priya Kapoor,3,68,1,70,25,5,172,2.87,Fail
St Joseph School,5,9,Ananya Malhotra,61,62,31,16,8,14,192,3.2,Fail
St Joseph School,5,29,Ishita Singh,31,7,51,21,83,9,202,3.37,Pass
St Joseph School,5,8,Aditya Bajaj,23,18,15,76,20,52,204,3.4,Pass
St Joseph School,5,5,Tanya Verma,47,26,31,8,80,19,211,3.52,Pass
St Joseph School,5,18,Kabir Verma,45,41,39,14,23,53,215,3.58,Pass
St Joseph School,5,16,Vivaan Gupta,15,89,19,27,48,29,227,3.78,Pass
St Joseph School,5,24,Aarav Bajaj,8,6,3,76,95,42,230,3.83,Pass
St Joseph School,5,28,Vivaan Malhotra,22,64,6,5,85,51,233,3.88,Pass
St Joseph School,5,23,Kiran Chopra,95,45,7,31,54,3,235,3.92,Pass
St Joseph School,5,7,Ananya Gupta,66,33,3,13,37,87,239,3.98,Pass
St Joseph School,5,26,Priya Gupta,37,31,4,53,28,88,241,4.02,Pass
St Joseph School,5,4,Pooja Malhotra,72,71,4,38,36,28,249,4.15,Pass
St Joseph School,5,19,Rohan Sharma,82,12,59,46,0,50,249,4.15,Pass
St Joseph School,5,13,Kabir Bajaj,29,7,14,93,80,27,250,4.17,Pass
St Joseph School,5,2,Vivaan Bajaj,94,15,31,20,87,4,251,4.18,Pass
St Joseph School,5,6,Rohan Mehta,4,86,75,12,54,20,251,4.18,Pass
St Joseph School,5,27,Rohan Bajaj,16,65,23,65,82,6,257,4.28,Pass
St Joseph School,5,15,Aarav Gupta,58,26,63,13,30,76,266,4.43,Pass
St Joseph School,5,20,Ishita Yadav,35,22,70,34,31,87,279,4.65,Pass
St Joseph School,5,10,Divya Kapoor,12,94,2,70,42,61,281,4.68,Pass
St Joseph School,5,3,Aryan Mehta,5,100,58,52,0,88,303,5.05,Pass
St Joseph School,5,11,Nikhil Gupta,88,52,79,39,51,8,317,5.28,Pass
St Joseph School,5,17,Rohan Verma,38,67,96,58,10,50,319,5.32,Pass
St Joseph School,5,22,Rohan Kapoor,46,100,92,13,28,43,322,5.37,Pass
St Joseph School,5,25,Varun Kapoor,33,18,95,31,99,49,325,5.42,Pass
St Joseph School,5,14,Rahul Yadav,96,12,61,65,84,46,364,6.07,Pass
St Joseph School,5,21,Rohan Bajaj,63,69,62,75,31,92,392,6.53,Pass
St Joseph School,5,12,Kiran Singh,96,13,79,18,92,99,397,6.62,Pass
St Joseph School,6,19,Aditya Verma,43,17,60,21,48,7,196,3.27,Fail
St Joseph School,6,23,Priya Gupta,11,42,15,94,12,42,216,3.6,Fail
St Joseph School,6,15,Simran Kapoor,28,55,8,49,42,35,217,3.62,Fail
St Joseph School,6,11,Nikhil Chopra,86,5,69,12,11,42,225,3.75,Fail
St Joseph School,6,13,Vivaan Kapoor,68,36,49,27,9,36,225,3.75,Pass
St Joseph School,6,24,Aarav Verma,13,5,49,13,76,76,232,3.87,Pass
St Joseph School,6,20,Varun Verma,74,29,72,11,4,51,241,4.02,Pass
St Joseph School,6,7,Aditya Sharma,43,10,51,29,29,80,242,4.03,Pass
St Joseph School,6,2,Neha Mehta,19,31,60,70,35,28,243,4.05,Pass
St Joseph School,6,6,Ananya Sharma,9,64,7,52,28,84,244,4.07,Pass
St Joseph School,6,26,Neha Yadav,5,35,100,6,54,49,249,4.15,Pass
St Joseph School,6,17,Vivaan Verma,13,66,0,55,30,88,252,4.2,Pass
St Joseph School,6,25,Pooja Gupta,7,39,72,15,55,64,252,4.2,Pass
St Joseph School,6,22,Nikhil Mehta,68,48,26,74,0,50,266,4.43,Pass
St Joseph School,6,27,Divya Sharma,58,100,14,26,22,63,283,4.72,Pass
St Joseph School,6,29,Kiran Gupta,80,41,4,52,88,26,291,4.85,Pass
St Joseph School,6,16,Pooja Mehta,33,52,83,29,55,42,294,4.9,Pass
St Joseph School,6,1,Rohan Chopra,31,24,91,14,48,88,296,4.93,Pass
St Joseph School,6,18,Priya Chopra,47,25,32,66,47,88,305,5.08,Pass
St Joseph School,6,12,Ishita Bajaj,45,68,47,98,19,33,310,5.17,Pass
St Joseph School,6,4,Varun Sharma,9,96,77,12,75,42,311,5.18,Pass
St Joseph School,6,30,Vivaan Bajaj,92,28,33,92,38,54,337,5.62,Pass
St Joseph School,6,3,Divya Verma,70,60,93,21,12,82,338,5.63,Pass
St Joseph School,6,14,Simran Sharma,73,30,56,16,78,100,353,5.88,Pass
St Joseph School,6,21,Ishita Malhotra,47,55,38,94,75,49,358,5.97,Pass
St Joseph School,6,5,Ishita Mehta,44,86,69,51,48,71,369,6.15,Pass
St Joseph School,6,9,Aryan Chopra,76,96,48,12,68,74,374,6.23,Pass
St Joseph School,6,8,Vivaan Kapoor,54,86,67,91,13,73,384,6.4,Pass
St Joseph School,6,10,Kiran Singh,37,63,43,94,94,97,428,7.13,Pass
St Joseph School,6,28,Kabir Sharma,99,51,87,90,81,75,483,8.05,Pass
St Joseph School,7,18,Nikhil Verma,32,7,51,0,52,9,151,2.52,Fail
St Joseph School,7,22,Divya Kapoor,17,81,1,60,9,19,187,3.12,Fail
St Joseph School,7,27,Tanya Sharma,35,7,26,39,52,28,187,3.12,Fail
St Joseph School,7,23,Aryan Singh,20,87,0,32,45,6,190,3.17,Fail
St Joseph School,7,19,Sanjay Chopra,10,80,44,25,18,14,191,3.18,Pass
St Joseph School,7,13,Neha Singh,10,61,36,18,35,40,200,3.33,Pass
St Joseph School,7,11,Vivaan Yadav,79,46,23,2,9,50,209,3.48,Pass
St Joseph School,7,9,Nikhil Bajaj,33,98,82,13,19,5,250,4.17,Pass
St Joseph School,7,4,Ananya Mehta,33,24,15,58,68,59,257,4.28,Pass
St Joseph School,7,21,Sanya Gupta,82,41,25,24,93,0,265,4.42,Pass
St Joseph School,7,1,Ishita Verma,76,54,75,11,45,5,266,4.43,Pass
St Joseph School,7,8,Simran Chopra,81,18,14,66,46,41,266,4.43,Pass
St Joseph School,7,17,Aditya Yadav,31,97,25,3,67,46,269,4.48,Pass
St Joseph School,7,24,Aarav Verma,13,79,84,45,17,32,270,4.5,Pass
St Joseph School,7,25,Aditya Chopra,8,18,16,100,84,52,278,4.63,Pass
St Joseph School,7,5,Rohan Chopra,45,32,49,98,54,4,282,4.7,Pass
St Joseph School,7,7,Rohan Kapoor,24,78,17,54,28,85,286,4.77,Pass
St Joseph School,7,14,Pooja Verma,39,92,100,19,64,1,315,5.25,Pass
St Joseph School,7,26,Pooja Kapoor,24,83,39,8,73,90,317,5.28,Pass
St Joseph School,7,10,Rohan Sharma,82,18,49,32,69,68,318,5.3,Pass
St Joseph School,7,2,Rohan Malhotra,17,46,72,91,40,59,325,5.42,Pass
St Joseph School,7,3,Varun Yadav,14,39,86,81,17,92,329,5.48,Pass
St Joseph School,7,16,Pooja Yadav,74,89,58,7,51,58,337,5.62,Pass
St Joseph School,7,20,Neha Verma,48,37,80,94,81,7,347,5.78,Pass
St Joseph School,7,28,Kabir Chopra,36,97,62,15,49,91,350,5.83,Pass
St Joseph School,7,6,Rohan Singh,66,70,61,20,65,75,357,5.95,Pass
St Joseph School,7,15,Sanya Mehta,43,99,7,69,80,59,357,5.95,Pass
St Joseph School,7,29,Aditya Yadav,70,57,99,53,65,22,366,6.1,Pass
St Joseph School,7,30,Tanya Chopra,75,43,79,98,59,31,385,6.42,Pass
St Joseph School,7,12,Vivaan Mehta,71,4,62,93,97,96,423,7.05,Pass
St Joseph School,8,12,Sanjay Gupta,36,28,15,25,29,40,173,2.88,Fail
St Joseph School,8,17,Ananya Verma,0,71,8,38,3,58,178,2.97,Fail
St Joseph School,8,27,Rohan Bajaj,43,28,30,19,1,62,183,3.05,Fail
St Joseph School,8,29,Tanya Yadav,19,40,36,60,38,9,202,3.37,Pass
St Joseph School,8,25,Ishita Verma,48,5,54,35,59,3,204,3.4,Pass
St Joseph School,8,2,Vivaan Bajaj,39,1,30,28,96,16,210,3.5,Pass
St Joseph School,8,6,Varun Singh,93,52,4,2,61,1,213,3.55,Pass
St Joseph School,8,24,Ishita Verma,16,58,65,1,12,85,237,3.95,Pass
St Joseph School,8,7,Divya Gupta,17,94,52,3,35,39,240,4,Pass
St Joseph School,8,4,Nikhil Bajaj,45,8,7,48,96,40,244,4.07,Pass
St Joseph School,8,5,Aarav Malhotra,6,69,35,30,90,14,244,4.07,Pass
St Joseph School,8,8,Divya Sharma,58,37,30,41,81,6,253,4.22,Pass
St Joseph School,8,15,Pooja Verma,52,11,49,3,90,57,262,4.37,Pass
St Joseph School,8,20,Ishita Sharma,1,43,2,55,91,82,274,4.57,Pass
St Joseph School,8,26,Neha Gupta,15,69,29,88,6,72,279,4.65,Pass
St Joseph School,8,18,Ananya Yadav,85,49,16,11,60,59,280,4.67,Pass
St Joseph School,8,11,Nikhil Kapoor,88,29,18,38,72,36,281,4.68,Pass
St Joseph School,8,23,Nikhil Mehta,73,47,88,36,23,18,285,4.75,Pass
St Joseph School,8,30,Pooja Chopra,66,60,19,15,59,69,288,4.8,Pass
St Joseph School,8,16,Nikhil Kapoor,11,68,75,26,36,74,290,4.83,Pass
St Joseph School,8,13,Nikhil Mehta,69,99,6,3,39,77,293,4.88,Pass
St Joseph School,8,10,Neha Bajaj,87,61,35,92,3,32,310,5.17,Pass
St Joseph School,8,14,Kiran Chopra,65,78,9,23,63,86,324,5.4,Pass
St Joseph School,8,9,Rahul Sharma,24,28,100,93,68,34,347,5.78,Pass
St Joseph School,8,28,Ananya Mehta,81,47,97,16,69,45,355,5.92,Pass
St Joseph School,8,19,Priya Malhotra,96,24,28,58,72,84,362,6.03,Pass
St Joseph School,8,1,Ananya Verma,27,62,61,69,70,74,363,6.05,Pass
St Joseph School,8,3,Rohan Malhotra,25,67,93,55,68,78,386,6.43,Pass
St Joseph School,8,22,Priya Mehta,88,74,99,85,35,17,398,6.63,Pass
St Joseph School,8,21,Aryan Kapoor,98,31,98,68,56,99,450,7.5,Pass
St Joseph School,9,8,Sanjay Verma,3,74,3,30,25,41,176,2.93,Fail
St Joseph School,9,21,Pooja Singh,48,26,21,30,18,45,188,3.13,Fail
St Joseph School,9,26,Sanjay Sharma,18,8,21,6,87,82,222,3.7,Fail
St Joseph School,9,20,Ishita Chopra,40,20,54,66,37,18,235,3.92,Fail
St Joseph School,9,16,Vivaan Singh,41,29,2,65,29,77,243,4.05,Pass
St Joseph School,9,27,Neha Bajaj,39,38,12,41,44,73,247,4.12,Pass
St Joseph School,9,7,Vivaan Mehta,41,4,30,96,53,24,248,4.13,Pass
St Joseph School,9,25,Sanya Kapoor,32,63,51,21,4,79,250,4.17,Pass
St Joseph School,9,6,Simran Bajaj,83,17,78,19,61,5,263,4.38,Pass
St Joseph School,9,4,Sanjay Singh,52,15,99,28,8,64,266,4.43,Pass
St Joseph School,9,12,Aditya Mehta,75,6,35,71,7,80,274,4.57,Pass
St Joseph School,9,30,Aarav Gupta,13,57,47,95,66,0,278,4.63,Pass
St Joseph School,9,22,Priya Kapoor,36,3,85,36,80,40,280,4.67,Pass
St Joseph School,9,18,Kabir Yadav,23,79,17,72,72,19,282,4.7,Pass
St Joseph School,9,24,Aditya Gupta,25,35,32,68,81,44,285,4.75,Pass
St Joseph School,9,28,Divya Chopra,25,35,79,6,83,64,292,4.87,Pass
St Joseph School,9,17,Aryan Malhotra,42,77,25,28,39,85,296,4.93,Pass
St Joseph School,9,11,Vivaan Yadav,38,37,15,31,93,87,301,5.02,Pass
St Joseph School,9,23,Ananya Malhotra,97,33,32,84,36,31,313,5.22,Pass
St Joseph School,9,5,Kiran Verma,64,54,6,87,63,49,323,5.38,Pass
St Joseph School,9,10,Rahul Yadav,87,75,57,55,2,65,341,5.68,Pass
St Joseph School,9,9,Pooja Bajaj,76,14,50,100,26,87,353,5.88,Pass
St Joseph School,9,15,Simran Bajaj,75,48,67,43,74,46,353,5.88,Pass
St Joseph School,9,19,Varun Verma,94,47,39,98,51,25,354,5.9,Pass
St Joseph School,9,1,Sanya Singh,93,97,11,31,34,90,356,5.93,Pass
St Joseph School,9,2,Divya Verma,62,50,40,77,93,56,378,6.3,Pass
St Joseph School,9,29,Aarav Malhotra,59,98,75,90,24,35,381,6.35,Pass
St Joseph School,9,3,Neha Gupta,98,36,67,74,57,50,382,6.37,Pass
St Joseph School,9,14,Simran Bajaj,79,56,70,22,85,74,386,6.43,Pass
St Joseph School,9,13,Tanya Verma,90,85,48,92,66,64,445,7.42,Pass
St Joseph School,10,14,Pooja Gupta,0,20,24,20,11,68,143,2.38,Fail
St Joseph School,10,8,Rohan Malhotra,4,48,25,20,36,40,173,2.88,Fail
St Joseph School,10,18,Pooja Yadav,45,45,42,11,21,15,179,2.98,Fail
St Joseph School,10,11,Aryan Kapoor,10,36,36,37,62,32,213,3.55,Fail
St Joseph School,10,30,Sanjay Gupta,32,74,6,8,86,8,214,3.57,Pass
St Joseph School,10,22,Neha Gupta,97,2,4,21,89,24,237,3.95,Pass
St Joseph School,10,2,Kiran Sharma,71,47,82,3,21,15,239,3.98,Pass
St Joseph School,10,24,Sanjay Mehta,15,58,57,13,51,48,242,4.03,Pass
St Joseph School,10,23,Aryan Kapoor,58,76,47,3,45,25,254,4.23,Pass
St Joseph School,10,9,Neha Mehta,21,95,79,5,54,4,258,4.3,Pass
St Joseph School,10,21,Sanjay Sharma,33,29,65,65,52,20,264,4.4,Pass
St Joseph School,10,20,Rahul Singh,4,81,90,14,52,24,265,4.42,Pass
St Joseph School,10,6,Sanya Yadav,78,69,42,39,18,24,270,4.5,Pass
St Joseph School,10,4,Sanya Yadav,64,40,69,32,61,7,273,4.55,Pass
St Joseph School,10,1,Vivaan Chopra,4,27,63,43,50,98,285,4.75,Pass
St Joseph School,10,10,Neha Kapoor,52,98,12,28,60,39,289,4.82,Pass
St Joseph School,10,17,Sanjay Sharma,52,43,17,34,94,58,298,4.97,Pass
St Joseph School,10,19,Rohan Sharma,87,80,40,38,8,62,315,5.25,Pass
St Joseph School,10,26,Varun Bajaj,68,32,84,88,28,24,324,5.4,Pass
St Joseph School,10,12,Tanya Yadav,98,81,64,43,7,51,344,5.73,Pass
St Joseph School,10,28,Priya Mehta,84,84,54,78,35,20,355,5.92,Pass
St Joseph School,10,3,Sanya Verma,65,40,88,96,59,9,357,5.95,Pass
St Joseph School,10,25,Varun Bajaj,96,52,33,33,96,52,362,6.03,Pass
St Joseph School,10,29,Divya Bajaj,61,45,61,66,49,84,366,6.1,Pass
St Joseph School,10,16,Vivaan Mehta,93,62,34,41,50,87,367,6.12,Pass
St Joseph School,10,7,Aditya Verma,88,43,52,77,67,53,380,6.33,Pass
St Joseph School,10,5,Aarav Yadav,88,10,9,97,83,97,384,6.4,Pass
St Joseph School,10,13,Ananya Verma,59,39,73,72,72,74,389,6.48,Pass
St Joseph School,10,27,Divya Verma,77,2,94,76,94,60,403,6.72,Pass
St Joseph School,10,15,Ishita Kapoor,92,68,77,40,79,79,435,7.25,Pass
St Johns School,1,12,Aditya Mehta,9,12,6,49,42,83,201,3.35,Fail
St Johns School,1,16,Neha Malhotra,63,12,54,67,6,7,209,3.48,Fail
St Johns School,1,9,Tanya Singh,5,46,8,44,49,59,211,3.52,Fail
St Johns School,1,21,Sanya Singh,39,8,49,23,61,40,220,3.67,Fail
St Johns School,1,6,Kiran Singh,17,44,55,16,32,69,233,3.88,Pass
St Johns School,1,14,Rahul Verma,36,81,74,25,1,20,237,3.95,Pass
St Johns School,1,24,Ananya Verma,59,21,40,72,51,3,246,4.1,Pass
St Johns School,1,27,Tanya Yadav,3,78,90,57,6,15,249,4.15,Pass
St Johns School,1,11,Tanya Kapoor,31,48,15,99,35,28,256,4.27,Pass
St Johns School,1,29,Simran Verma,64,13,30,79,66,12,264,4.4,Pass
St Johns School,1,28,Rohan Mehta,43,11,1,87,81,47,270,4.5,Pass
St Johns School,1,19,Divya Chopra,40,10,22,35,100,69,276,4.6,Pass
St Johns School,1,20,Aditya Malhotra,55,22,9,46,99,45,276,4.6,Pass
St Johns School,1,8,Priya Malhotra,60,56,88,55,9,19,287,4.78,Pass
St Johns School,1,1,Rahul Mehta,43,79,23,79,51,14,289,4.82,Pass
St Johns School,1,17,Sanjay Yadav,11,52,65,97,69,8,302,5.03,Pass
St Johns School,1,30,Ananya Chopra,40,44,32,46,88,52,302,5.03,Pass
St Johns School,1,18,Kabir Gupta,60,87,2,80,27,53,309,5.15,Pass
St Johns School,1,7,Nikhil Singh,18,17,97,16,82,96,326,5.43,Pass
St Johns School,1,3,Aarav Gupta,92,62,15,99,1,59,328,5.47,Pass
St Johns School,1,26,Rahul Chopra,32,16,98,58,69,66,339,5.65,Pass
St Johns School,1,22,Ananya Gupta,88,25,19,45,94,76,347,5.78,Pass
St Johns School,1,23,Vivaan Gupta,63,46,55,40,91,52,347,5.78,Pass
St Johns School,1,15,Rahul Singh,68,87,82,5,41,67,350,5.83,Pass
St Johns School,1,5,Rahul Mehta,6,52,72,92,35,97,354,5.9,Pass
St Johns School,1,10,Kabir Malhotra,82,12,9,85,95,78,361,6.02,Pass
St Johns School,1,25,Divya Chopra,78,100,58,52,56,31,375,6.25,Pass
St Johns School,1,2,Varun Sharma,93,17,62,69,87,82,410,6.83,Pass
St Johns School,1,4,Rahul Bajaj,99,99,66,85,19,45,413,6.88,Pass
St Johns School,1,13,Varun Singh,51,87,74,58,52,96,418,6.97,Pass
St Johns School,2,2,Rahul Sharma,1,12,26,39,51,35,164,2.73,Fail
St Johns School,2,7,Nikhil Yadav,6,32,57,54,17,23,189,3.15,Fail
St Johns School,2,19,Divya Sharma,98,12,4,48,31,29,222,3.7,Fail
St Johns School,2,6,Ananya Chopra,55,6,48,49,54,17,229,3.82,Fail
St Johns School,2,9,Aryan Malhotra,62,79,57,39,7,7,251,4.18,Pass
St Johns School,2,22,Varun Kapoor,70,15,46,79,5,43,258,4.3,Pass
St Johns School,2,16,Rahul Verma,65,42,0,42,53,59,261,4.35,Pass
St Johns School,2,28,Divya Yadav,1,4,93,54,69,41,262,4.37,Pass
St Johns School,2,29,Neha Mehta,6,18,67,61,69,49,270,4.5,Pass
St Johns School,2,13,Aryan Mehta,44,48,60,53,45,21,271,4.52,Pass
St Johns School,2,25,Ananya Mehta,60,60,46,35,55,21,277,4.62,Pass
St Johns School,2,27,Varun Sharma,43,69,71,16,33,45,277,4.62,Pass
St Johns School,2,21,Tanya Singh,85,12,7,45,95,36,280,4.67,Pass
St Johns School,2,23,Nikhil Malhotra,17,15,66,79,65,39,281,4.68,Pass
St Johns School,2,11,Aarav Chopra,32,85,27,27,31,97,299,4.98,Pass
St Johns School,2,20,Neha Malhotra,67,71,41,73,14,35,301,5.02,Pass
St Johns School,2,10,Aditya Mehta,22,2,69,77,52,99,321,5.35,Pass
St Johns School,2,5,Rahul Chopra,15,51,2,85,94,77,324,5.4,Pass
St Johns School,2,14,Rohan Mehta,26,83,30,23,67,98,327,5.45,Pass
St Johns School,2,3,Ananya Verma,49,78,70,23,52,78,350,5.83,Pass
St Johns School,2,26,Aryan Chopra,98,77,79,53,21,22,350,5.83,Pass
St Johns School,2,24,Ishita Yadav,77,86,65,32,51,41,352,5.87,Pass
St Johns School,2,4,Neha Gupta,55,58,48,39,95,59,354,5.9,Pass
St Johns School,2,1,Neha Sharma,97,89,40,44,73,14,357,5.95,Pass
St Johns School,2,17,Kiran Bajaj,18,84,53,96,83,52,386,6.43,Pass
St Johns School,2,18,Priya Kapoor,97,91,69,52,63,28,400,6.67,Pass
